id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-08-26T11:36:44;payment unleash Jamaican Dollar;1
2;Rest;2020-08-27T06:53:14;Plains;2
3;Quality Plastic plum;2020-08-26T11:13:36;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-08-27T07:40:48;Architect SSL;4
5;zero tolerance;2020-08-27T04:37:07;user-facing CSS;5
6;ADP Ouguiya;2020-08-27T00:33:35;Garden;6
7;auxiliary;2020-08-27T08:49:35;functionalities Bedfordshire withdrawal;7
8;Data;2020-08-26T11:47:36;Viaduct hybrid;8
9;mesh;2020-08-27T10:13:15;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-08-27T08:12:09;Re-engineered withdrawal Ball;10
