id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-08-27T03:25:00;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-08-26T15:17:42;75071
2;Rhode Island bypassing SQL;2020-08-26T18:13:04;Frozen online streamline;ISSUED;CREDIT_CARD;2020-08-27T10:00:10;68011
3;lime program;2020-08-26T13:28:07;parse Horizontal Shirt;ISSUED;PAYPAL;2020-08-26T14:18:40;82892
4;Buckinghamshire Director Gloves;2020-08-26T17:58:50;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-08-26T10:33:51;33894
5;attitude-oriented;2020-08-26T20:26:58;Integration structure;CANCELLED;PAYPAL;2020-08-26T22:34:28;72584
6;Internal Licensed Steel Towels RSS;2020-08-27T03:03:08;Chips;PAID;CREDIT_CARD;2020-08-27T03:58:48;90614
7;Toys Cotton;2020-08-26T19:32:29;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-08-26T17:15:53;42722
8;Arizona Barbados Dollar;2020-08-27T04:02:11;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-08-27T01:05:39;44406
9;Generic Ethiopian Birr Assurance;2020-08-26T16:31:02;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-08-27T00:26:32;93110
10;Concrete;2020-08-27T09:14:48;paradigms system;PAID;CREDIT_CARD;2020-08-26T11:41:00;93817
